"Gene","F_Statistics","P_Value","R_squared","Slope_value","Slope_direction"
"RNF207",0.636488633393114,0.638109160179949,0.0337007394941451,-0.00248173929887861,"negative"
"ICMT",1.7496516648167,0.148360544172736,0.0874841069304561,0.130923691233791,"positive"
"ICMT-DT",2.26126928991931,0.0706988693486941,0.110245214860041,0.0663282142996326,"positive"
"GPR153",0.83084073736493,0.509885363093518,0.0435431933425209,0.109359484899957,"positive"
"ACOT7",0.965237131796452,0.431865245746791,0.0502329024188426,0.00193575832698748,"positive"
"HES2",3.78424777857607,0.00748968011190601,0.171743905968757,-0.0265016349277567,"negative"
"ESPN",1.14827819293772,0.340807948304681,0.0591948512912746,0.136304859386655,"positive"
"TNFRSF25",0.751227641573288,0.560398878589386,0.0395357424132774,0.0517687030614704,"positive"
"PLEKHG5",3.70827716109514,0.00837369780986832,0.168878329291941,-0.0255720855689106,"negative"
"NOL9",3.49630603821356,0.0114387145742808,0.160777008843235,-0.0443473564501776,"negative"
"TAS1R1",5.05508970174153,0.00118677721503202,0.216909257438463,-0.106662912259211,"negative"
"LOC107984912",0.0220410883377046,0.999032158555492,0.00120627401345833,-0.0112361589038819,"negative"
"ZBTB48",6.41392067657451,0.000176474810866967,0.260052761305966,-0.0411730207998921,"negative"
"KLHL21",1.46286817474804,0.222299669470955,0.0742087940618382,-0.0464395512297309,"negative"
"LOC107984913",0.517759249853836,0.722899623269436,0.0275876966962835,-0.0461275551378982,"negative"
"PHF13",1.53305485109194,0.201565710397897,0.0774933326845285,0.0934196624351664,"positive"
"THAP3",0.674750577367448,0.611621982198598,0.0356543973781297,0.0396058309393824,"positive"
"DNAJC11",1.92831391651756,0.114777521485539,0.0955636791307466,0.0956443411368661,"positive"
"CAMTA1-DT",2.41292081667194,0.0565943422457739,0.11677539869993,0.0239680543670288,"positive"
"CAMTA1",1.44343198453904,0.228377180142565,0.0732950958305415,-0.0453106838761208,"negative"
"CAMTA1-AS2",1.20609606173606,0.315597276518129,0.0619906510488538,-0.0466980117937088,"negative"
"CAMTA1-AS1",0.768163385443624,0.549400892519178,0.0403910393382976,-0.0167985285329188,"negative"
"LOC105376689",0.493529872340831,0.740478225739454,0.0263306792104894,0.0225142457818179,"positive"
"VAMP3",3.08491682100249,0.0209930727102638,0.144594743297318,-0.0591491240222985,"negative"
"PER3",1.80846473856946,0.136386122909924,0.0901596788258698,-0.0960512942133221,"negative"
"UTS2",1.84573690843613,0.129280214483035,0.0918471871345655,-0.0307784628293826,"negative"
"TNFRSF9",2.09815339397056,0.0897157487263668,0.103112717569363,-0.0246468795001655,"negative"
"PARK7",1.44850532720813,0.226776351950347,0.0735337683315198,0.105591164534779,"positive"
"ERRFI1",3.80010611349244,0.00731738322748202,0.172339583942735,0.0141584173950611,"positive"
"LOC107984915",0.57682879069667,0.680326868473593,0.030638659176723,0.0124674581858707,"positive"
"LINC01714",3.15648981835738,0.0188863966292397,0.147454806703082,-0.0397143625451181,"negative"
"LOC105376695",0.193331386479364,0.941146618238779,0.0104824547381442,0.0404911391161175,"positive"
"SLC45A1",2.35969671476549,0.0611971628770495,0.114494490017164,0.00899108511530871,"positive"
"RERE",1.48596472997906,0.21526994823299,0.0752922266689029,-0.111081684089548,"negative"
"RERE-AS1",1.69882178517452,0.159506211356971,0.0851590035476201,0.0386852398917179,"positive"
"SNORD128",1.7964621509483,0.138752624318565,0.0896149224447227,0.0135456118095827,"positive"
"ENO1",3.42053587527126,0.0127902784101404,0.157842699181911,0.185017098117585,"positive"
"MIR6728",1.04110145113212,0.392008049443051,0.0539679630926943,0.0156608378314733,"positive"
"ENO1-AS1",1.08937908165829,0.368213800041263,0.0563295789931266,-0.0392778913974221,"negative"
"LOC112268261",1.83109968771713,0.132027584904876,0.0911852297031892,-0.0625864843666139,"negative"
"CA6",0.492774282741543,0.741026811366632,0.0262914270485183,0.0309824592124076,"positive"
"SLC2A5",0.982549104333457,0.422502893141595,0.0510878250721362,-0.195569734626238,"negative"
"GPR157",1.16086285214681,0.335179649525175,0.059804804195936,0.0876333663935531,"positive"
"MIR34AHG",1.93149660190393,0.114251064818112,0.0957063115785828,-0.018248127719517,"negative"
"MIR34A",0.235221767828451,0.917637426235231,0.0127248550643752,-0.0514486634458975,"negative"
"LNCTAM34A",2.54987128406555,0.0462626401256253,0.122590724204095,-0.013164626839827,"negative"
"H6PD",3.33055929108765,0.0146057126611101,0.154331463154577,0.00131064213960095,"positive"
"SPSB1",4.84896147759719,0.00159438972374305,0.209921189846566,0.200210774965715,"positive"
"LINC02606",4.45326677525708,0.00282184959769383,0.19615092485767,0.135381627452097,"positive"
"SLC25A33",7.58724092272022,3.61392966172547e-05,0.293655229883633,0.171365042408868,"positive"
"TMEM201",1.031670755372,0.396797950577893,0.0535052573224011,0.0161221380965966,"positive"
"LOC105376712",1.11445416637961,0.356330372804356,0.0575515404051261,-0.0882836548291379,"negative"
"PIK3CD",0.653755063244725,0.62609236352399,0.0345833439471423,0.0018816906573069,"positive"
"PIK3CD-AS1",0.301053174729206,0.876347551851455,0.0162283602927358,0.0071281756045482,"positive"
"PIK3CD-AS2",0.338595787035323,0.851081552088296,0.0182152428787266,-0.00503798024971546,"negative"
"CLSTN1",0.978975203058838,0.424422710805151,0.0509114600607061,-0.0627889348759059,"negative"
"CTNNBIP1",1.02379774905402,0.400832406017052,0.0531186309197556,0.0467055323107027,"positive"
"LOC105376717",3.47388749382168,0.0118228995459272,0.159910950321836,0.0169602004945099,"positive"
"LZIC",4.76790310363625,0.00179141924131724,0.207138898889667,0.0126512730222462,"positive"
"NMNAT1",0.925369963351522,0.454026547903357,0.0482582586474271,0.0775013904259232,"positive"
"TMEM274P",1.49785771721035,0.211730202396333,0.0758491244295811,-0.0540453820324714,"negative"
"MIR5697",0.788605870084089,0.536304090960336,0.0414214084510909,0.0659409724250366,"positive"
"RBP7",0.988402392433256,0.419373199496103,0.0513765318071323,0.0848550189472005,"positive"
