"Gene","F_Statistics","P_Value","R_squared","Slope_value","Slope_direction"
"PER3",3.74787304819701,0.0118275460627367,0.0503647951402755,-0.342444032757711,"negative"
"UTS2",1.14430502449895,0.332165798229323,0.0159349608778476,-0.117621747072933,"negative"
"TNFRSF9",0.478517971325754,0.697565724835256,0.00672593617910465,0.0722857532102169,"positive"
"PARK7",4.99103660518339,0.00229584345551399,0.0659686507697677,-0.0988400441979381,"negative"
"ERRFI1",3.48785560611361,0.0166516521334047,0.0470349683230836,-0.283403060416674,"negative"
"LINC01714",2.09026494929546,0.10252804937374,0.0287294269132822,-0.119802686973008,"negative"
"LOC105376695",0.23197766943296,0.874043741344093,0.00327196199032036,0.0167681022687931,"positive"
"SLC45A1",3.21420358350456,0.0238490097868296,0.0435052209404249,-0.035042578007156,"negative"
"RERE",2.08183212690837,0.10363860688645,0.0286168396796146,0.0278492955306053,"positive"
"RERE-AS1",1.00435472573819,0.391796756657125,0.0140134004821734,0.0694856332489711,"positive"
"ENO1",1.51657064194831,0.211208539919104,0.0210100114444065,0.124016947900935,"positive"
"MIR6728",0.232862157347676,0.873420504152721,0.00328439640164157,-0.0275429031569571,"negative"
"ENO1-AS1",2.06717260210116,0.105596984546121,0.0284210571431888,-0.0831688784328193,"negative"
"LOC112268261",0.994068559713242,0.396524903981224,0.0138718721845782,0.0326166820284509,"positive"
"CA6",1.84225499913097,0.140518637852742,0.0254072872249039,0.011988214521971,"positive"
"SLC2A5",2.7033899365669,0.0464777129299348,0.0368459568075045,0.156794725912422,"positive"
"GPR157",3.72912917854271,0.0121230608859319,0.0501255364792612,0.228356370572132,"positive"
"MIR34AHG",22.7362150898134,8.40531430118562e-13,0.243420916595392,0.43998041702037,"positive"
"MIR34A",5.33712855735076,0.00145487164189267,0.0702218690740355,0.095614073642933,"positive"
"LNCTAM34A",10.5294595660662,1.74627979091814e-06,0.12967933391164,0.131839827498997,"positive"
"H6PD",1.29504317642651,0.277096769395778,0.0179962813453189,0.111555922921268,"positive"
"SPSB1",10.3779203093138,2.11617388427017e-06,0.128051985907332,0.344890803884115,"positive"
"LINC02606",4.81087989559256,0.0029116036825762,0.0637392193402074,0.0928361595226387,"positive"
"SLC25A33",5.51039080960175,0.00115803409766339,0.0723366193465587,0.236654190163626,"positive"
"TMEM201",3.0133119530761,0.0310241076970079,0.0408972967897778,0.174279779731187,"positive"
"PIK3CD",0.110192896933146,0.954077380837589,0.00155690571201633,0.0297242174172994,"positive"
"PIK3CD-AS1",2.1884699229239,0.0904156248620473,0.0300386496459686,0.0745114590380066,"positive"
"PIK3CD-AS2",4.13685255735101,0.00708397448584516,0.0553029135562751,0.0332873858223772,"positive"
"CLSTN1",2.769568830247,0.042642333485707,0.0377139270757336,0.171458623035784,"positive"
"CTNNBIP1",4.07359471217592,0.00770018262798004,0.0545033511660834,-0.0749378134421242,"negative"
"LOC105376717",2.1838741928557,0.0909500593704229,0.029977460250664,-0.0292163234585149,"negative"
"LZIC",1.95331001343884,0.122075275606733,0.0268976954102212,-0.00937550387827158,"negative"
"NMNAT1",3.78189494913588,0.0113093679171658,0.0507987645033712,0.225065769901138,"positive"
"RBP7",7.43618266464588,9.29363157044747e-05,0.0952101328992694,-0.0252936699786969,"negative"
"UBE4B",1.99032231052761,0.116463757526124,0.0273934047989842,-0.0395510389022054,"negative"
"KIF1B",1.01806424950606,0.385570354231771,0.0142019679294964,-0.0469866947874365,"negative"
"PGD",2.54498569761788,0.0570903033943508,0.0347620305706885,0.188484990219499,"positive"
"CENPS-CORT",0.843461334230515,0.47145092014279,0.011794991252427,-0.0283842773803671,"negative"
"CENPS",0.698432098003932,0.553956041321506,0.00978674604384759,-0.0404248803193245,"negative"
"CORT",0.2010917065518,0.895553634139091,0.00283756268249334,-0.0232808300676036,"negative"
"DFFA",5.32589679222545,0.00147656007666904,0.0700844470802261,0.12026545006972,"positive"
"PEX14",1.93631342427739,0.12473866095403,0.0266698890576105,0.0572504329446312,"positive"
"CASZ1",2.52425135985761,0.058644805863599,0.0344885872171028,0.0905383959998086,"positive"
"C1orf127",1.79122051156767,0.149864480938771,0.0247208493281286,0.119499655589209,"positive"
"TARDBP",2.80617844794505,0.0406564214138693,0.038193409327863,-0.0999071694299989,"negative"
"MASP2",4.23920693562631,0.00618946767228186,0.0565937853970445,-0.0842138415848249,"negative"
